"nodeCode","nodeID","name","longitude","latitude"
"KEN1",1,"Baringo",35.9467536591854,0.675970587236613
"KEN2",2,"Bomet",35.2975819070452,-0.719447555682252
"KEN3",3,"Bungoma",34.7021244481782,0.750596968363651
"KEN4",4,"Busia",34.1935788035863,0.392636128399294
"KEN5",5,"Elgeyo-Marakwet",35.5466295345785,0.785833794303351
"KEN6",6,"Embu",37.6254910816404,-0.600456988139471
"KEN7",7,"Garissa",40.2047004926527,-0.489487002041632
"KEN8",8,"Homa Bay",34.3632996648935,-0.536036356806614
"KEN9",9,"Isiolo",38.5397427433055,1.0123004936075
"KEN10",10,"Kajiado",36.9062401999249,-2.11877673282962
"KEN11",11,"Kakamega",34.6781505060147,0.336428649423082
"KEN12",12,"Kericho",35.3136388673282,-0.288524596013247
"KEN13",13,"Kiambu",36.8263520469353,-1.06344960218664
"KEN14",14,"Kilifi",39.6868881751874,-3.17440401978248
"KEN15",15,"Kirinyaga",37.3192440150574,-0.520129843688329
"KEN16",16,"Kisii",34.7741054410291,-0.768512024250719
"KEN17",17,"Kisumu",34.8344002008458,-0.163032851639986
"KEN18",18,"Kitui",38.406211525375,-1.4884033894667
"KEN19",19,"Kwale",39.1546227686533,-4.14523534298412
"KEN20",20,"Laikipia",36.7706700320336,0.329443849756465
"KEN21",21,"Lamu",40.7883518333693,-2.04506592211403
"KEN22",22,"Machakos",37.4121016826951,-1.27763694080539
"KEN23",23,"Makueni",37.7874716141706,-2.15517318782071
"KEN24",24,"Mandera",40.7354608297949,3.4390016587578
"KEN25",25,"Marsabit",37.5689961586461,2.9783583896089
"KEN26",26,"Meru",37.7636248405712,0.169667207785885
"KEN27",27,"Migori",34.3654572720845,-0.988686123105378
"KEN28",28,"Mombasa",39.6540169686324,-4.01633609061507
"KEN29",29,"Murang'a",37.0320980132532,-0.803256781895499
"KEN30",30,"Nairobi",36.8666687839376,-1.29054638118062
"KEN31",31,"Nakuru",36.0777469684793,-0.457326586658899
"KEN32",32,"Nandi",35.1094604963994,0.193043491903734
"KEN33",33,"Narok",35.5739004923647,-1.25162626355665
"KEN34",34,"Nyamira",34.9639161113784,-0.636160899006514
"KEN35",35,"Nyandarua",36.48218885334,-0.31585672388826
"KEN36",36,"Nyeri",36.95573979847,-0.336506424094491
"KEN37",37,"Samburu",37.1182027141764,1.32148573295414
"KEN38",38,"Siaya",34.2488235652237,-0.0545965834207042
"KEN39",39,"Taita Taveta",38.4166950329725,-3.4328870932213
"KEN40",40,"Tana River",39.4176255481128,-1.52477755064039
"KEN41",41,"Tharaka-Nithi",37.8717973403185,-0.204059706283348
"KEN42",42,"Trans Nzoia",34.9580663995687,1.05599133897672
"KEN43",43,"Turkana",35.4332769187045,3.26528630259066
"KEN44",44,"Uasin Gishu",35.3231282059857,0.528079922589961
"KEN45",45,"Vihiga",34.7208525614745,0.082198100179459
"KEN46",46,"Wajir",40.0340630439394,1.81058954470861
"KEN47",47,"West Pokot",35.2470696819443,1.73066638558315
